timestep	potential_energy	temperature
270000000	3202.227295	0.9941338897
270020000	3768.536621	1.167376399
270040000	3971.743164	1.272071362
270060000	4059.495117	1.315814614
270080000	4075.783691	1.303333282
270100000	4057.54248	1.305412531
270120000	4053.202148	1.323848605
270140000	4066.639648	1.333027124
270160000	4111.396484	1.336537719
270180000	4075.105225	1.303509474
270200000	4029.719238	1.29195857
270220000	4136.109863	1.290104032
270240000	4036.700928	1.283504367
270260000	3956.626709	1.292152762
270280000	3995.78125	1.279969811
270300000	4109.831055	1.274312973
270320000	4118.652832	1.273999095
270340000	4104.899902	1.302648306
270360000	4033.545166	1.316164017
270380000	4045.442383	1.300338626
270400000	4191.555664	1.271103501
270420000	4035.620117	1.288319588
270440000	4056.5354	1.282440424
270460000	3949.228027	1.250378013
270480000	3964.351562	1.285226941
270500000	4095.618652	1.279923439
270520000	3999.69043	1.307650328
270540000	4171.159668	1.317218781
270560000	4142.855469	1.294867754
270580000	4089.605713	1.290355563
270600000	4012.27002	1.280465722
270620000	4058.40625	1.285829782
270640000	3989.992188	1.301222563
270660000	4055.690186	1.29703629
270680000	4014.391113	1.317045093
270700000	4140.436035	1.340987563
270720000	4029.518066	1.292634368
270740000	4050.575928	1.304792762
270760000	4049.268066	1.264704823
270780000	3929.317383	1.285110474
270800000	4023.255371	1.319860697
270820000	4129.253906	1.288823247
270840000	4069.702881	1.294969678
270860000	4025.587402	1.304054737
270880000	4008.495605	1.323602319
270900000	4065.44458	1.308976889
270920000	4058.871338	1.28886342
270940000	4019.795898	1.311292052
270960000	4064.512695	1.302233219
270980000	4197.616211	1.302720904
271000000	4008.243408	1.307237267
271020000	4178.35791	1.301009774
271040000	4179.323242	1.305229664
271060000	3995.16626	1.30319941
271080000	4033.611328	1.308920979
271100000	4109.630859	1.332042336
271120000	4074.872314	1.328333974
271140000	3979.379639	1.312239647
271160000	3985.006836	1.303607702
271180000	4081.51123	1.279445052
271200000	3953.447754	1.278187633
271220000	3950.734375	1.285527706
271240000	4137.229492	1.282734275
271260000	3963.61084	1.307784915
271280000	4033.538818	1.300952196
271300000	4004.5271	1.29271245
271320000	3919.242676	1.299846053
271340000	4114.769043	1.297693372
271360000	4004.519287	1.284630656
271380000	3957.171875	1.271288037
271400000	4008.212646	1.26379323
271420000	4024.310303	1.288874984
271440000	4008.30957	1.312582493
271460000	4018.242188	1.30224812
271480000	4043.81543	1.288518548
271500000	4206.282227	1.30407083
271520000	4290.974609	1.298171282
271540000	4056.391113	1.317326188
271560000	4144.085938	1.31445694
271580000	4150.825195	1.326440334
271600000	4084.609619	1.277544856
271620000	4006.708008	1.308399677
271640000	4170.125977	1.300567627
271660000	3962.275146	1.29996562
271680000	3978.270752	1.285092354
271700000	4074.312012	1.291021585
271720000	4055.877197	1.300261497
271740000	4105.451172	1.308158159
271760000	4099.397461	1.299476743
271780000	3978.464844	1.304008603
271800000	4027.765137	1.308947325
271820000	4110.429688	1.334157586
271840000	4192.876953	1.311371922
271860000	4097.078125	1.325883508
271880000	4100.222656	1.312304854
271900000	4069.615723	1.316422701
271920000	4073.761719	1.31230557
271940000	4152.513672	1.270479679
271960000	4099.213867	1.301232696
271980000	4116.476562	1.287770629
272000000	3998.029053	1.3040241
272020000	4095.464111	1.288039923
272040000	3934.05957	1.32472527
272060000	3952.2146	1.272933483
272080000	4071.694336	1.324129224
272100000	4002.656494	1.290139318
272120000	4119.942871	1.287487388
272140000	4040.355469	1.315145254
272160000	4013.87207	1.325357676
272180000	4093.98999	1.282972693
272200000	4176.509277	1.32477653
272220000	4003.297119	1.335737705
272240000	4221.303711	1.297821164
272260000	4112.812012	1.269715309
272280000	4177.032227	1.318035722
272300000	4171.672852	1.2850945
272320000	4067.116943	1.313986421
272340000	3996.034424	1.338716388
272360000	4090.926514	1.310143828
272380000	4046.682129	1.27634263
272400000	4004.80957	1.272041678
272420000	4224.183594	1.277507305
272440000	4147.436523	1.286792517
272460000	4179.342773	1.309790969
272480000	4188.143555	1.288755298
272500000	3966.850586	1.317213774
272520000	4021.878418	1.273433685
272540000	4087.761719	1.313537121
272560000	4133.915039	1.273992419
272580000	4064.783936	1.284672737
272600000	4139.577148	1.267024279
272620000	4095.831055	1.300398231
272640000	4055.516602	1.289954782
272660000	4158.593262	1.305390954
272680000	4088.059326	1.306148648
272700000	4031.297852	1.328867912
272720000	4164.584473	1.303355575
272740000	4129.131348	1.281493545
272760000	4066.748047	1.250440836
272780000	4055.057129	1.303984046
272800000	4073.433105	1.338752866
272820000	4029.541992	1.285560846
272840000	4069.17041	1.277560949
272860000	4200.751465	1.3238554
272880000	4171.586914	1.313795567
272900000	4058.833008	1.301873088
272920000	4004.447754	1.331641674
272940000	4122.167969	1.265779257
272960000	3956.216309	1.29508245
272980000	4048.317627	1.287664533
273000000	4015.67749	1.293536663
273020000	4045.90625	1.294447064
273040000	4127.358398	1.290891528
273060000	4182.128906	1.315092802
273080000	4045.976807	1.304951668
273100000	4149.854492	1.311986327
273120000	4058.077148	1.302561998
273140000	3900.524414	1.30728817
273160000	4025.091797	1.307995081
273180000	4067.54248	1.308430433
273200000	4190.12793	1.296746492
273220000	3991.098145	1.279276371
273240000	4022.546143	1.297183037
273260000	3997.823975	1.294711828
273280000	4123.330078	1.288125753
273300000	4027.504639	1.293214202
273320000	4079.658447	1.298313975
273340000	3964.108398	1.296222806
273360000	4034.165771	1.300069451
273380000	4040.048096	1.334602594
273400000	4041.853027	1.299157619
273420000	4001.726562	1.262687683
273440000	4035.731934	1.28160882
273460000	4011.340332	1.320737243
273480000	4010.606201	1.306149006
273500000	3967.073242	1.308892131
273520000	4061.070801	1.291708589
273540000	4059.477539	1.281186461
273560000	3981.394775	1.289337873
273580000	4118.347656	1.300816894
273600000	4100.419922	1.297353625
273620000	4017.082764	1.311619282
273640000	4206.491211	1.317908406
273660000	4186.257812	1.29531908
273680000	4125.437988	1.349010944
273700000	4088.89209	1.308718085
273720000	4017.227539	1.295478225
273740000	4090.722412	1.30085361
273760000	3939.96875	1.294044375
273780000	4137.871094	1.299999356
273800000	4054.293701	1.324679971
273820000	4025.031982	1.319571972
273840000	4056.4021	1.316644192
273860000	4113.978516	1.335452795
273880000	4035.29248	1.309195161
273900000	4095.805176	1.293305755
273920000	3998.958984	1.263585806
273940000	3910.541016	1.292477965
273960000	3999.842773	1.253652453
273980000	4067.123047	1.292966604
274000000	4061.280273	1.310055494
274020000	3942.473877	1.306122541
274040000	4007.39209	1.300588608
274060000	4004.087891	1.313654542
274080000	4021.325195	1.296473384
274100000	4047.566406	1.274200678
274120000	4076.988281	1.284749746
274140000	3956.350342	1.312678814
274160000	4094.92749	1.302842736
274180000	4125.938477	1.328695774
274200000	3977.978516	1.33140409
274220000	4011.864258	1.291483164
274240000	4078.885254	1.279758215
274260000	4004.922119	1.30909884
274280000	3979.44458	1.288588405
274300000	3980.793213	1.282902241
274320000	4184.332031	1.316087246
274340000	4181.21582	1.242380738
274360000	4129.526855	1.32580924
274380000	4164.600586	1.304243565
274400000	4078.291016	1.298421979
274420000	4089.645508	1.256939888
274440000	4120.861328	1.306111693
274460000	4080.46582	1.268139124
274480000	4027.617188	1.328944683
274500000	3950.730225	1.297345638
274520000	3928.936768	1.286961794
274540000	4076.934326	1.27889204
274560000	4026.975098	1.309097052
274580000	4079.583496	1.315416217
274600000	4073.839844	1.312053442
274620000	4094.515869	1.300598145
274640000	4051.428223	1.306503296
274660000	4121.766602	1.306388617
274680000	4084.091553	1.290948153
274700000	3904.462646	1.322294474
274720000	4035.360107	1.337733626
